"dataset","source","version","tags","url","note"
"gem_gspt","archive","April-2024-V1","['latest', 'supported']","https://globalenergymonitor.org/wp-content/uploads/2024/04/Global-Steel-Plant-Tracker-April-2024-Standard-Copy-V1.xlsx","Original of the TUB mirror, for details see https://github.com/PyPSA/pypsa-eur/pull/1265"
"gem_gspt","primary","March-2025-V1","['not-supported']","https://globalenergymonitor.org/wp-content/uploads/2025/03/Plant-level-data-Global-Iron-and-Steel-Tracker-March-2025-V1.xlsx""",""
"gem_gspt","primary","April-2024-V1","['latest', 'supported']","https://tubcloud.tu-berlin.de/s/Aqebo3rrQZWKGsG/download/Global-Steel-Plant-Tracker-April-2024-Standard-Copy-V1.xlsx",""
"jrc_enspreso_biomass","archive","2019-06-20","['latest', 'supported']","https://zenodo.org/records/10356004/files/ENSPRESO_BIOMASS.xlsx",""
"jrc_enspreso_biomass","primary","unknown","['latest', 'supported']","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/ENSPRESO/ENSPRESO_BIOMASS.xlsx","2019 version was changed in 2023 with negligible differences, but since the version is not frozen we label it as 'unknown'."
"hotmaps_industrial_sites","archive","Version 0.2.0","['not-supported']","https://zenodo.org/records/4687147/files/industrial_sites_Industrial_Database-1.0.zip",""
"hotmaps_industrial_sites","archive","Version 1.1","['latest', 'supported']","https://zenodo.org/records/15834781/files/Industrial_Database.csv",""
"hotmaps_industrial_sites","primary","Version 1.0","['not-supported']","https://gitlab.com/hotmaps/industrial_sites/industrial_sites_Industrial_Database/-/raw/1.0/data/Industrial_Database.csv","Required renaming of country names to work with PyPSA-Eur. This was fixed in the latest version."
"hotmaps_industrial_sites","primary","unknown","['latest', 'supported']","https://gitlab.com/hotmaps/industrial_sites/industrial_sites_Industrial_Database/-/raw/master/data/Industrial_Database.csv",""
"osm","archive","0.1","['deprecated', 'not-supported']","https://zenodo.org/records/12799202",""
"osm","archive","0.2","['deprecated', 'not-supported']","https://zenodo.org/records/13342577",""
"osm","archive","0.3","['deprecated', 'not-supported']","https://zenodo.org/records/13358976",""
"osm","archive","0.4","['deprecated', 'not-supported']","https://zenodo.org/records/13759222",""
"osm","archive","0.5","['deprecated', 'not-supported']","https://zenodo.org/records/13981528",""
"osm","archive","0.6","['latest', 'supported']","https://zenodo.org/records/14144752",""
"osm","build","unknown","['latest', 'supported']","","Latest dataset built using OSM data. No single URL available to access the data. See the related scripts and documentation for details."
"worldbank_urban_population","archive","2025-05-07","['latest', 'supported']","https://sandbox.zenodo.org/records/214937/files/API_SP.URB.TOTL.IN.ZS_DS2_en_csv_v2_86733.zip",""
"worldbank_urban_population","primary","unknown","['latest', 'might-work']","https://api.worldbank.org/v2/en/indicator/SP.URB.TOTL.IN.ZS?downloadformat=csv","This is the original World Bank API link, which is sometimes updated; it is not guaranteed to work with the current codebase and data changes without notice."
